1,20,25500,288000,2,4,3,4,13,18,23,0
2,20,9500,288000,5,2,5,4,0,0,0,0
3,20,15300,0,3,3,4,3,0,0,0,0
4,20,13180,0,4,3,5,5,0,0,0,0
5,20,5880,0,3,1,3,3,0,0,0,0
6,20,2680,0,1,1,1,2,0,0,0,0
7,20,27000,288000,2,3,3,5,0,0,0,0
8,20,82400,288000,3,3,2,5,13,18,23,42
1,19,5750,288000,3,4,1,4,13,18,23,53
2,19,12500,288000,2,3,2,3,0,0,0,0
3,19,19500,0,4,4,3,5,0,0,0,0
4,19,50600,0,4,4,2,5,0,0,0,0
5,19,10100,0,3,1,2,3,0,0,0,0
6,19,27100,0,2,2,3,4,0,0,0,0
7,19,445600,288000,4,2,5,4,0,0,0,0
8,19,395800,288000,3,3,3,2,13,18,23,39
1,18,4800,288000,1,2,2,4,13,18,23,29
2,18,2600,288000,3,2,2,3,0,0,0,0
3,18,10700,0,3,2,3,4,0,0,0,0
4,18,28600,0,4,4,2,5,0,0,0,0
5,18,22300,0,3,2,4,5,0,0,0,0
6,18,35400,0,4,3,5,5,0,0,0,0
7,18,230700,288000,2,3,3,4,13,18,23,17
8,18,395800,288000,1,3,2,2,13,18,23,39
1,17,1000,288000,1,1,1,2,13,18,23,79
2,17,12280,288000,3,3,4,4,13,18,23,5
3,17,17160,0,4,4,5,5,0,0,0,0
4,17,173700,0,2,3,4,5,0,0,0,0
5,17,75600,0,5,3,5,5,0,0,0,0
6,17,32040,0,5,4,4,5,0,0,0,0
7,17,25950,288000,3,4,1,5,13,18,23,23
8,17,93500,288000,3,4,3,3,18,23,28,18
1,16,2640,288000,4,3,5,4,13,18,23,90
2,16,9030,288000,3,4,5,4,12,15,18,12
3,16,21300,0,3,3,2,5,0,0,0,0
4,16,23300,0,3,4,5,5,0,0,0,0
5,16,14780,0,5,3,3,5,0,0,0,0
6,16,13900,0,5,5,5,5,0,0,0,0
7,16,28600,288000,5,3,4,4,16,24,32,5
8,16,106190,288000,3,4,2,2,16,24,32,15
1,15,560,288000,1,1,1,1,13,18,23,88
2,15,4980,288000,4,3,3,4,10,15,20,73
3,15,31080,0,3,4,2,3,0,0,0,0
4,15,176600,0,4,4,4,5,0,0,0,0
5,15,34060,0,4,4,3,5,0,0,0,0
6,15,7800,0,3,3,3,3,0,0,0,0
7,15,14900,288000,2,2,2,3,0,0,0,0
8,15,168900,288000,3,5,5,2,16,24,32,12

1,14,33760,216000,3,5,4,5,13,18,23,75
2,14,86220,216000,4,5,4,5,0,0,0,0
3,14,79740,0,4,5,5,5,0,0,0,0
4,14,181920,0,3,5,5,5,0,0,0,0
5,14,46020,0,4,4,4,5,0,0,0,0
6,14,156200,0,4,3,4,4,0,0,0,0
7,14,82300,216000,2,4,2,4,0,0,0,0
8,14,117000,216000,3,5,4,4,16,24,32,48
1,13,90400,216000,4,5,4,5,10,20,30,34
2,13,38600,216000,4,5,4,5,0,0,0,0
3,13,38600,0,4,4,3,5,0,0,0,0
4,13,107200,0,5,5,3,5,0,0,0,0
5,13,414200,0,3,3,3,4,0,0,0,0
6,13,421100,0,2,2,3,2,0,0,0,0
7,13,33000,216000,1,3,1,3,0,0,0,0
8,13,12000,216000,2,5,3,3,16,24,32,39
1,12,55900,216000,5,5,5,4,10,20,30,68
2,12,276000,216000,4,4,4,5,12,22,32,14
3,12,98400,0,3,4,4,5,0,0,0,0
4,12,22900,0,3,3,2,4,0,0,0,0
5,12,350200,0,2,2,3,2,0,0,0,0
6,12,820800,0,4,1,5,1,0,0,0,0
7,12,106000,216000,2,2,4,3,0,0,0,0
8,12,116500,216000,4,5,5,4,10,18,26,55
1,11,464300,216000,3,5,5,3,9,24,39,47
2,11,800500,216000,4,3,4,3,0,0,0,0
3,11,276900,0,5,3,4,5,0,0,0,0
4,11,192900,0,5,3,4,5,0,0,0,0
5,11,214600,0,5,2,4,3,0,0,0,0
6,11,112300,0,1,1,1,2,0,0,0,0
7,11,107900,216000,1,2,2,1,0,0,0,0
8,11,117900,216000,2,5,5,3,10,18,26,31
1,10,586400,216000,4,5,5,4,11,26,41,50
2,10,363600,216000,4,3,5,4,9,24,39,46
3,10,247500,0,2,2,3,5,0,0,0,0
4,10,150100,0,4,3,5,5,0,0,0,0
5,10,87500,0,4,5,4,5,0,0,0,0
6,10,2800,0,2,1,1,2,0,0,0,0
7,10,3300,216000,1,1,1,1,0,0,0,0
8,10,199800,216000,2,5,3,2,10,18,26,8
1,9,302500,216000,4,5,4,4,9,24,39,40
2,9,75300,216000,2,3,3,3,5,20,35,5
3,9,8500,0,5,1,1,3,0,0,0,0
4,9,34300,0,3,3,4,5,0,0,0,0
5,9,48600,0,4,5,3,5,0,0,0,0
6,9,2800,0,1,1,1,3,0,0,0,0
7,9,3600,216000,5,1,5,1,0,0,0,0
8,9,143400,216000,3,4,3,2,10,18,26,8
1,8,275000,216000,1,5,3,1,9,24,39,18
2,8,16200,216000,1,2,1,3,0,0,0,0
3,8,19000,0,3,3,3,3,0,0,0,0
4,8,19300,0,3,5,2,3,0,0,0,0
5,8,32100,0,3,5,5,5,0,0,0,0
6,8,11000,0,2,2,3,2,0,0,0,0
7,8,7400,216000,2,3,1,2,0,0,0,0
8,8,181300,216000,3,5,4,3,15,25,35,5
1,7,157000,216000,2,5,5,3,5,20,35,74
2,7,174600,216000,2,4,3,2,5,20,35,32
3,7,13700,0,4,2,3,3,0,0,0,0
4,7,3700,0,2,3,1,3,0,0,0,0
5,7,5300,0,3,2,3,2,0,0,0,0
6,7,24800,0,3,5,2,5,0,0,0,0
7,7,22200,216000,5,2,3,3,0,0,0,0
8,7,270500,216000,2,5,4,2,15,25,35,8
1,6,79400,144000,2,5,3,2,5,20,35,75
2,6,137400,144000,2,4,2,3,5,20,35,23
3,6,24200,0,2,2,2,2,0,0,0,0
4,6,6700,0,3,2,3,2,0,0,0,0
5,6,13300,0,3,1,3,2,0,0,0,0
6,6,11900,0,4,1,5,2,0,0,0,0
7,6,34400,144000,1,1,1,1,0,0,0,0
8,6,236200,144000,1,5,4,1,15,25,35,3
1,5,188500,144000,2,5,4,3,7,22,37,84
2,5,299400,144000,3,4,3,2,7,22,37,18
3,5,48900,0,5,1,4,3,0,0,0,0
4,5,5200,0,3,1,1,2,0,0,0,0
5,5,7400,0,2,1,2,1,0,0,0,0
6,5,26200,0,2,1,1,1,0,0,0,0
7,5,398400,144000,2,4,3,1,0,0,0,0
8,5,425200,144000,5,4,5,1,16,26,36,3
1,4,276800,144000,2,5,4,1,7,22,37,68
2,4,55100,144000,2,2,1,2,5,20,35,16
3,4,7300,0,3,2,3,1,0,0,0,0
4,4,1400,0,2,1,2,1,0,0,0,0
5,4,600,0,1,1,1,1,0,0,0,0
6,4,700,0,1,1,1,1,0,0,0,0
7,4,424700,144000,3,3,5,1,0,0,0,0
8,4,425200,144000,3,5,5,1,16,26,36,3
1,3,61500,144000,2,5,2,3,5,20,35,85
2,3,1300,144000,1,4,1,3,8,18,28,95
3,3,570,0,1,1,1,3,8,18,28,16
4,3,640,0,1,1,1,1,0,0,0,0
5,3,300,0,1,1,1,1,0,0,0,0
6,3,404500,0,2,2,2,1,0,0,0,0
7,3,1181400,144000,5,4,5,2,15,30,45,5
8,3,17100,144000,2,5,5,1,10,20,30,32
