1,1,4,5,3,44
2,1,6,6,4,44
3,1,8,8,6,44
4,1,9,8,7,45
5,1,9,8,7,45
6,1,9,8,7,45
7,1,8,8,6,44
8,1,6,6,4,44
1,2,4,4,3,56
2,2,5,5,4,56
3,2,7,7,6,55
4,2,8,7,6,55
5,2,8,7,6,54
6,2,9,0,7,44
7,2,7,7,5,44
8,2,6,6,4,43
1,3,4,4,3,58
2,3,5,5,4,57
3,3,7,7,6,57
4,3,8,0,6,57
5,3,8,0,6,56
6,3,8,0,6,56
7,3,6,6,5,56
8,3,5,4,4,57
1,4,4,4,3,59
2,4,5,5,4,59
3,4,7,0,6,59
4,4,7,0,6,58
5,4,7,0,6,58
6,4,7,0,6,58
7,4,6,0,5,58
8,4,4,4,4,58
1,5,4,4,3,61
2,5,5,5,4,61
3,5,7,0,6,61
4,5,7,0,6,60
5,5,7,0,6,60
6,5,7,0,6,60
7,5,6,0,5,60
8,5,4,4,4,60
1,6,4,3,3,62
2,6,5,5,4,62
3,6,7,0,6,63
4,6,7,0,6,62
5,6,7,0,6,62
6,6,7,0,6,62
7,6,6,0,4,62
8,6,4,4,4,61
1,7,4,3,3,63
2,7,5,4,4,64
3,7,6,0,6,64
4,7,7,0,6,64
5,7,7,0,6,64
6,7,7,0,6,64
7,7,5,0,4,64
8,7,4,4,4,63
1,8,3,3,3,65
2,8,5,0,4,65
3,8,6,0,5,66
4,8,6,0,6,66
5,8,6,0,6,66
6,8,7,0,6,66
7,8,5,0,4,65
8,8,4,4,4,64
1,9,3,3,3,66
2,9,5,4,4,67
3,9,6,0,5,68
4,9,6,0,6,68
5,9,6,0,6,68
6,9,6,0,6,68
7,9,5,0,4,67
8,9,4,4,4,65
1,10,3,3,3,66
2,10,5,4,4,68
3,10,6,0,5,69
4,10,6,0,5,70
5,10,6,0,5,70
6,10,6,0,5,69
7,10,5,0,4,68
8,10,4,4,4,66
1,11,4,4,4,67
2,11,5,0,4,68
3,11,6,0,5,69
4,11,6,0,5,71
5,11,6,0,5,72
6,11,6,0,5,70
7,11,5,0,4,68
8,11,4,4,4,67
1,12,4,4,4,67
2,12,5,4,4,68
3,12,6,0,6,69
4,12,6,0,5,71
5,12,6,0,5,71
6,12,6,0,5,70
7,12,5,0,4,68
8,12,4,4,4,67
1,13,4,4,4,67
2,13,5,0,4,68
3,13,6,0,6,69
4,13,6,0,6,69
5,13,6,0,6,69
6,13,6,0,5,69
7,13,5,0,4,68
8,13,3,3,3,67
1,14,3,2,3,77
2,14,6,0,5,67
3,14,6,0,6,68
4,14,6,0,6,68
5,14,6,0,6,68
6,14,6,0,5,68
7,14,5,0,4,68
8,14,3,3,2,67
1,15,3,2,3,77
2,15,5,4,5,77
3,15,5,0,5,76
4,15,5,0,5,76
5,15,5,0,5,76
6,15,5,0,5,76
7,15,4,0,4,67
8,15,3,3,2,66
1,16,3,2,3,78
2,16,5,3,5,78
3,16,5,0,5,77
4,16,5,0,5,77
5,16,5,0,5,77
6,16,4,0,4,77
7,16,3,2,3,77
8,16,2,2,2,77
1,17,3,2,4,79
2,17,5,3,5,79
3,17,5,0,5,79
4,17,5,0,5,78
5,17,5,0,5,78
6,17,4,0,4,78
7,17,3,2,3,78
8,17,2,2,2,78
1,18,3,2,4,81
2,18,5,0,5,80
3,18,5,0,5,80
4,18,5,0,5,80
5,18,5,0,5,79
6,18,3,0,3,79
7,18,3,2,3,79
8,18,1,1,2,79
1,19,3,2,4,82
2,19,5,0,5,81
3,19,5,0,5,81
4,19,5,0,5,81
5,19,5,0,5,81
6,19,3,0,3,80
7,19,2,0,2,80
8,19,1,1,1,80
1,20,4,3,5,83
2,20,4,0,5,83
3,20,4,0,5,82
4,20,5,0,5,82
5,20,4,0,5,82
6,20,3,0,3,82
7,20,2,0,2,81
8,20,1,1,1,81
