1,1,8,8,8,19
2,1,8,8,8,19
3,1,7,7,6,18
4,1,4,4,3,18
5,1,2,2,2,17
6,1,0,0,0,17
7,1,0,0,0,17
8,1,0,0,0,6
1,2,9,8,8,21
2,2,8,8,8,21
3,2,7,7,6,20
4,2,4,4,3,19
5,2,2,2,2,18
6,2,0,0,0,18
7,2,0,0,0,18
8,2,0,0,0,18
1,3,9,8,8,24
2,3,9,8,8,22
3,3,6,5,5,21
4,3,4,0,3,20
5,3,1,0,1,19
6,3,0,0,0,18
7,3,0,0,0,18
8,3,0,0,0,18
1,4,9,8,8,23
2,4,9,8,8,23
3,4,5,0,5,21
4,4,3,0,3,20
5,4,1,0,1,19
6,4,0,0,0,19
7,4,0,0,0,18
8,4,0,0,0,18
1,5,9,8,8,22
2,5,9,8,8,22
3,5,6,0,5,21
4,5,3,0,3,20
5,5,1,0,1,19
6,5,0,0,0,19
7,5,0,0,0,19
8,5,0,0,0,18
1,6,8,8,8,26
2,6,8,7,8,26
3,6,5,0,5,27
4,6,3,0,3,27
5,6,1,0,1,28
6,6,0,0,0,28
7,6,0,0,0,28
8,6,0,0,0,29
1,7,8,7,8,28
2,7,8,7,8,28
3,7,5,0,5,28
4,7,3,0,3,28
5,7,1,0,1,29
6,7,0,0,0,29
7,7,0,0,0,29
8,7,0,0,0,29
1,8,8,7,8,29
2,8,8,0,8,29
3,8,5,0,5,29
4,8,3,0,3,29
5,8,1,0,1,29
6,8,0,0,0,29
7,8,0,0,0,29
8,8,0,0,0,29
1,9,8,7,8,31
2,9,8,7,8,31
3,9,6,0,6,31
4,9,3,0,3,30
5,9,1,0,1,30
6,9,0,0,0,30
7,9,0,0,0,30
8,9,0,0,0,30
1,10,8,7,7,32
2,10,8,7,7,32
3,10,6,0,6,32
4,10,3,0,3,31
5,10,2,0,2,31
6,10,0,0,0,31
7,10,0,0,0,30
8,10,0,0,0,30
1,11,7,6,7,33
2,11,7,0,7,33
3,11,6,0,6,33
4,11,3,0,3,32
5,11,2,0,2,32
6,11,0,0,0,31
7,11,0,0,0,31
8,11,0,0,0,31
1,12,7,6,7,35
2,12,7,6,7,35
3,12,6,0,6,34
4,12,3,0,3,33
5,12,2,0,2,32
6,12,0,0,0,32
7,12,0,0,0,31
8,12,0,0,0,31
1,13,7,6,7,36
2,13,7,0,7,35
3,13,6,0,6,34
4,13,3,0,3,33
5,13,2,0,2,32
6,13,0,0,0,32
7,13,0,0,0,31
8,13,0,0,0,31
1,14,7,6,7,36
2,14,7,0,7,36
3,14,5,0,6,37
4,14,3,0,3,33
5,14,2,0,2,33
6,14,0,0,0,32
7,14,0,0,0,32
8,14,0,0,0,31
1,15,7,6,7,37
2,15,7,6,7,37
3,15,5,0,6,38
4,15,3,0,3,38
5,15,1,0,1,39
6,15,0,0,0,39
7,15,0,0,0,40
8,15,0,0,0,40
1,16,7,6,7,38
2,16,7,5,7,38
3,16,4,0,4,38
4,16,3,0,3,39
5,16,1,0,1,39
6,16,0,0,0,40
7,16,0,0,0,40
8,16,0,0,0,40
1,17,6,5,7,40
2,17,6,5,7,40
3,17,4,0,4,39
4,17,2,0,2,40
5,17,0,0,1,40
6,17,0,0,0,40
7,17,0,0,0,40
8,17,0,0,0,40
1,18,6,5,7,41
2,18,6,0,7,41
3,18,4,0,4,41
4,18,2,0,2,40
5,18,0,0,1,41
6,18,0,0,0,41
7,18,0,0,0,41
8,18,0,0,0,41
1,19,6,5,7,42
2,19,6,0,7,42
3,19,3,0,4,42
4,19,2,0,2,41
5,19,0,0,0,41
6,19,0,0,0,41
7,19,0,0,0,41
8,19,0,0,0,41
1,20,6,4,7,43
2,20,6,0,7,43
3,20,3,0,4,42
4,20,2,0,2,42
5,20,0,0,0,42
6,20,0,0,0,42
7,20,0,0,0,42
8,20,0,0,0,41
