1,1,0,0,0,42
2,1,0,0,0,42
3,1,0,0,0,42
4,1,0,0,0,41
5,1,1,1,1,41
6,1,1,2,1,41
7,1,2,3,2,30
8,1,3,4,3,30
1,2,0,0,0,42
2,2,0,0,0,42
3,2,0,0,0,42
4,2,1,1,1,42
5,2,1,1,1,41
6,2,2,0,2,41
7,2,3,3,3,41
8,2,4,4,4,30
1,3,0,0,0,42
2,3,0,0,0,42
3,3,0,0,0,42
4,3,1,0,1,42
5,3,1,0,1,42
6,3,3,0,3,42
7,3,4,4,3,41
8,3,4,4,4,41
1,4,0,0,0,42
2,4,0,0,0,42
3,4,1,0,1,42
4,4,1,0,1,42
5,4,2,0,2,42
6,4,3,0,3,42
7,4,4,0,3,42
8,4,4,4,4,41
1,5,0,0,0,42
2,5,0,0,0,42
3,5,1,0,1,42
4,5,1,0,1,42
5,5,2,0,2,42
6,5,4,0,3,42
7,5,4,0,4,42
8,5,6,5,5,42
1,6,0,0,0,42
2,6,0,0,0,42
3,6,1,0,1,42
4,6,1,0,1,42
5,6,3,0,3,42
6,6,4,0,3,42
7,6,4,0,4,42
8,6,7,7,6,42
1,7,0,0,0,42
2,7,0,0,0,42
3,7,1,0,1,42
4,7,1,0,1,42
5,7,3,0,3,42
6,7,4,0,3,42
7,7,4,0,4,42
8,7,7,7,6,43
1,8,0,0,0,42
2,8,0,0,0,42
3,8,1,0,1,42
4,8,1,0,1,42
5,8,3,0,3,42
6,8,4,0,3,42
7,8,5,0,5,43
8,8,7,6,6,43
1,9,0,0,0,59
2,9,0,0,0,59
3,9,1,0,1,42
4,9,2,0,2,42
5,9,3,0,3,42
6,9,4,0,3,42
7,9,5,0,5,43
8,9,7,6,6,43
1,10,0,0,0,59
2,10,0,0,0,59
3,10,0,0,0,59
4,10,2,0,2,59
5,10,2,0,2,58
6,10,3,0,3,58
7,10,5,0,5,43
8,10,7,7,6,43
1,11,0,0,0,60
2,11,0,0,0,60
3,11,0,0,0,60
4,11,2,0,2,60
5,11,2,0,2,59
6,11,3,0,3,59
7,11,4,0,4,59
8,11,6,5,6,58
1,12,0,0,0,60
2,12,0,0,0,60
3,12,0,0,0,60
4,12,2,0,2,60
5,12,2,0,2,61
6,12,3,0,3,61
7,12,4,0,4,61
8,12,6,5,6,61
1,13,0,0,0,61
2,13,0,0,0,61
3,13,1,0,1,61
4,13,1,0,2,61
5,13,2,0,2,62
6,13,3,0,4,62
7,13,4,0,4,63
8,13,5,5,6,63
1,14,0,0,0,61
2,14,0,0,0,61
3,14,1,0,1,61
4,14,1,0,2,62
5,14,2,0,2,62
6,14,3,0,4,63
7,14,4,0,4,64
8,14,5,5,6,65
1,15,0,0,0,61
2,15,0,0,0,61
3,15,1,0,1,62
4,15,1,0,2,62
5,15,2,0,2,63
6,15,3,0,4,64
7,15,4,0,4,65
8,15,5,4,6,67
1,16,0,0,0,61
2,16,0,0,0,62
3,16,1,0,1,62
4,16,1,0,2,63
5,16,2,0,2,63
6,16,3,0,4,64
7,16,4,4,4,66
8,16,5,4,6,67
1,17,0,0,0,62
2,17,0,0,0,62
3,17,1,0,1,63
4,17,1,0,2,63
5,17,2,0,2,64
6,17,3,0,4,65
7,17,4,4,4,66
8,17,5,4,6,68
1,18,0,0,0,62
2,18,0,0,0,62
3,18,0,0,0,63
4,18,1,0,2,63
5,18,2,0,2,64
6,18,3,0,3,65
7,18,4,4,4,66
8,18,5,4,5,67
1,19,0,0,0,62
2,19,0,0,0,62
3,19,0,0,0,63
4,19,1,0,1,63
5,19,2,0,2,64
6,19,2,0,3,78
7,19,3,0,4,78
8,19,4,4,4,77
1,20,0,0,0,62
2,20,0,0,0,62
3,20,0,0,0,80
4,20,0,0,1,80
5,20,1,0,1,79
6,20,2,0,2,79
7,20,2,0,3,79
8,20,3,2,4,78
